wordnet,wikipedia,source
adjunct.n.01,Talk:Cato_Institute,BING
adjustable_wrench.n.01,Adjustable_spanner,FERNANDO
adjustment.n.01,Adjustment_(law),BING
administration.n.02,state_religion,BABELNET
administrative_district.n.01,administrative_division,BABELNET
administrator.n.01,Administrative_Assistant,BING
admiral.n.01,admiral,BABELNET
admonisher.n.01,Genesis_25,BING
admonition.n.01,Admonition,BING
adolescence.n.01,adolescence,BABELNET
adolescent.n.01,Adolescence,BING
adonis.n.01,Adonis,FERNANDO
adoption.n.01,Adoption,BING
adornment.n.01,adornment,BABELNET
adrenal_cortex.n.01,adrenal_cortex,BABELNET
adrenal_gland.n.01,adrenal_gland,BABELNET
adrenal_medulla.n.01,adrenal_medulla,BABELNET
adult.n.01,adult,BABELNET
adult_female_body.n.01,Female_body_shape,BING
adult_male_body.n.01,Body_weight,BING
adulteress.n.01,Adultery,BING
adultery.n.01,fornication,BABELNET
advantage.n.01,Advantage,BING
advent.n.01,Advent,FERNANDO
adventure.n.01,adventure,BABELNET
adverb.n.01,Adverb,FERNANDO
adversary.n.01,Antagonist,FERNANDO
advertiser.n.01,Personal_advertisement,BING
advertising_agency.n.01,advertising_agency,BABELNET
advice.n.01,advice_(programming),BABELNET
adviser.n.01,consultant,BABELNET
advocate.n.02,Special_pleader,BABELNET
aerobics.n.01,aerobic_exercise,BABELNET
aeronautics.n.01,astronautics,BABELNET
aerosol.n.02,Aerosol_spray,BABELNET
aesthetics.n.01,aesthetics,BABELNET
affability.n.01,Paradox,BING
affair.n.02,affair,BABELNET
affect.n.01,affect_(psychology),BABELNET
affectation.n.01,Disaffectation,BING
affected_role.n.01,patient_(grammar),BABELNET
affection.n.01,heart_(symbol),BABELNET
affectionateness.n.02,like,BABELNET
affenpinscher.n.01,Affenpinscher,BABELNET
affidavit.n.01,affidavit,BABELNET
affiliate.n.01,Network_affiliate,BING
affiliation.n.01,Affiliation_(family_law),BING
affinity.n.03,Affinity_(law),BING
affix.n.01,affix,BABELNET
affliction.n.01,Affliction_Clothing,BING
afghan_hound.n.01,Afghan_Hound,FERNANDO
