wordnet,wikipedia,source
ceriman.n.01,Monstera_deliciosa,BABELNET
cerise.n.01,cerise_(color),BABELNET
cerium.n.01,cerium,BABELNET
cero.n.01,cero_(fish),BABELNET
certificate.n.01,credential,BABELNET
cerussite.n.01,cerussite,BABELNET
cervical_plexus.n.01,cervical_plexus,BABELNET
cervix.n.02,cervix,BABELNET
cesarean_delivery.n.01,Caesarean_section,BABELNET
cesium.n.01,caesium,BABELNET
cesspool.n.01,cesspit,BABELNET
cetacean.n.01,cetacea,BABELNET
chabazite.n.01,chabazite,BABELNET
chad.n.01,chad_(paper),BABELNET
chaff.n.01,chaff,BABELNET
chain.n.10,Necklace,BING
chain_mail.n.01,mail_(armour),BABELNET
chain_saw.n.01,chainsaw,BABELNET
chairlift.n.01,chairlift,BABELNET
chaise_longue.n.01,chaise_longue,BABELNET
chalaza.n.01,chalaza,BABELNET
chalcedony.n.01,chalcedony,BABELNET
chalcocite.n.01,chalcocite,BABELNET
chalcopyrite.n.01,chalcopyrite,BABELNET
chalice.n.01,chalice,BABELNET
challah.n.01,hallah_(Talmud),BABELNET
challenge.n.01,Challenge,FERNANDO
chamber_music.n.01,chamber_music,BABELNET
chamber_of_commerce.n.01,Chamber_of_commerce,FERNANDO
chameleon.n.03,chameleon,BABELNET
chamois.n.01,chamois_leather,BABELNET
chamois.n.02,chamois,BABELNET
champagne.n.01,champagne,BABELNET
champion.n.01,Champ_(folklore),BABELNET
chancellor.n.02,Grand_chancellor_(China),BABELNET
chancre.n.01,chancre,BABELNET
chancroid.n.01,Chancroid,FERNANDO
chandelier.n.01,chandelier,BABELNET
change.n.01,change_(philosophy),BABELNET
change_of_direction.n.01,Direction,BING
chant.n.01,chant,BABELNET
chanterelle.n.01,chanterelle,BABELNET
chaos.n.01,Chaos_(cosmogony),BING
chap.n.01,Challenge-Handshake_Authentication_Protocol,BING
chapel_service.n.01,Chapel,BING
chapter.n.01,Chapter,BING
character.n.05,data_type,BABELNET
character_assassination.n.01,character_assassination,BABELNET
charcoal.n.03,Shades_of_gray,BABELNET
chard.n.01,chard,BABELNET
charger.n.01,White_(horse),BING
chariot.n.01,Chariot,FERNANDO
charlotte.n.02,charlotte_(cake),BABELNET
chart.n.01,chart,BABELNET
charter.n.01,charter,BABELNET
charwoman.n.01,charwoman,BABELNET
chasteness.n.01,"Étude_Op._10,_No._3_(Chopin)",BING
chat_room.n.01,chat_room,BABELNET
chauffeur.n.01,chauffeur,BABELNET
cheat.n.05,cheating,BABELNET
check.n.01,cheque,BABELNET
check_mark.n.01,check_mark,BABELNET
checkbook.n.01,Checksum,BING
checker.n.03,English_draughts,BABELNET
checkerboard.n.01,checkerboard,BABELNET
checkers.n.01,draughts,BABELNET
checking_account.n.01,Transaction_account,BABELNET
checkmate.n.02,checkmate,BABELNET
checkout_line.n.01,Self_checkout,BING
checkup.n.01,physical_examination,BABELNET
cheddar.n.02,Cheddar_cheese,BABELNET
cheekbone.n.01,zygomatic_bone,BABELNET
cheep.n.01,Bird_vocalization,BABELNET
cheerfulness.n.01,Cheerfulness,BING
cheering.n.01,cheering,BABELNET
cheerleader.n.01,Cheerleading,BING
cheese_spread.n.01,cheese_spread,BABELNET
cheeseburger.n.01,cheeseburger,BABELNET
cheesecake.n.01,cheesecake,BABELNET
cheetah.n.01,cheetah,BABELNET
chef.n.01,chef,BABELNET
chemical.n.01,chemical_substance,BABELNET
chemical_equilibrium.n.01,chemical_equilibrium,BABELNET
chemical_plant.n.01,chemical_plant,BABELNET
chemical_reaction.n.01,chemical_reaction,BABELNET
chemical_weapon.n.01,chemical_weapon,BABELNET
chemiluminescence.n.01,chemiluminescence,BABELNET
chemise.n.01,teddy_(garment),BABELNET
chemistry.n.03,Interpersonal_attraction,BABELNET
chenille.n.01,Chenille_fabric,BING
chenin_blanc.n.01,Chenin_blanc,BABELNET
cherimoya.n.01,Annona_cherimola,BABELNET
cherry.n.02,cherry,BABELNET
cherry_plum.n.01,cherry_plum,BABELNET
cherry_tomato.n.01,cherry_tomato,BABELNET
cherub.n.01,Cherub,FERNANDO
chervil.n.01,chervil,BABELNET
chesapeake_bay_retriever.n.01,Chesapeake_Bay_Retriever,FERNANDO
chess.n.01,Bromus_secalinus,BABELNET
chess_player.n.01,First-move_advantage_in_chess,BING
chess_set.n.01,chess_set,BABELNET
chessboard.n.01,chessboard,BABELNET
chessman.n.01,chess_piece,BABELNET
chest_cavity.n.01,thoracic_cavity,BABELNET
chest_of_drawers.n.01,chest_of_drawers,BABELNET
chest_pain.n.01,chest_pain,BABELNET
chesterfield.n.02,Chesterfield,FERNANDO
chestnut.n.02,chestnut,BABELNET
chevron.n.01,Stripe_(pattern),BABELNET
chew.n.01,Chewing,BING
chewing_gum.n.01,chewing_gum,BABELNET
chickadee.n.01,Black-capped_chickadee,BING
chicken.n.01,chicken,BABELNET
chicken.n.02,Chicken_as_food,BABELNET
chicken_coop.n.01,chicken_coop,BABELNET
chicken_leg.n.01,Chicken_leg,BING
chicken_sandwich.n.01,chicken_sandwich,BABELNET
chicken_soup.n.01,chicken_soup,BABELNET
chickenpox.n.01,chickenpox,BABELNET
chickpea.n.02,chickpea,BABELNET
chicory.n.02,chicory,BABELNET
chief_executive_officer.n.01,chief_operating_officer,BABELNET
chief_financial_officer.n.01,chief_financial_officer,BABELNET
chief_of_staff.n.01,chief_of_staff,BABELNET
chiffonier.n.01,commode,BABELNET
chigoe.n.01,Tunga_penetrans,BABELNET
chihuahua.n.03,Chihuahua_(dog),BABELNET
child.n.01,minor_(law),BABELNET
child_abuse.n.01,child_abuse,BABELNET
child_neglect.n.01,child_neglect,BABELNET
childbirth.n.01,Vaginal_delivery,BABELNET
childhood.n.02,childhood,BABELNET
chili.n.02,Chili_pepper,FERNANDO
chime.n.01,Bell_cymbal,BABELNET
chimera.n.02,Chimera_(genetics),BING
chimneysweeper.n.01,chimney_sweep,BABELNET
chimpanzee.n.01,chimpanzee,BABELNET
chin.n.01,chin,BABELNET
china_cabinet.n.01,China_cabinet,BING
chinaware.n.01,Chinese_ceramics,BABELNET
chincapin.n.01,Chinquapin,FERNANDO
chinch_bug.n.01,Blissus_leucopterus,BABELNET
chinchilla.n.03,chinchilla,BABELNET
chine.n.01,Chine,FERNANDO
chinese_alligator.n.01,Chinese_alligator,BABELNET
chinese_gooseberry.n.01,Actinidia_deliciosa,BABELNET
chinese_restaurant_syndrome.n.01,Glutamate_flavoring,BABELNET
chink.n.03,Chink,BING
chinook.n.05,chinook_salmon,BABELNET
chip.n.04,potato_chip,BABELNET
chipmunk.n.01,chipmunk,BABELNET
chiropractic.n.01,chiropractic,BABELNET
chirrup.n.01,Chirrup,BING
chisel.n.01,chisel,BABELNET
chitchat.n.01,small_talk,BABELNET
chives.n.01,chives,BABELNET
chlamydia.n.01,Chlamydia_infection,BING
chlamydia_psittaci.n.01,Chlamydophila_psittaci,BABELNET
chlordiazepoxide.n.01,chlordiazepoxide,BABELNET
chloride.n.01,chloride,BABELNET
chlorine.n.01,chlorine,BABELNET
chlorine_dioxide.n.01,chlorine_dioxide,BABELNET
chlorite.n.01,Chlorite,FERNANDO
chlorobenzene.n.01,chlorobenzene,BABELNET
chlorofluorocarbon.n.01,chlorofluorocarbon,BABELNET
chloroform.n.01,chloroform,BABELNET
chlorophyll.n.01,chlorophyll,BABELNET
chlorophyll_b.n.01,chlorophyll_b,BABELNET
chloropicrin.n.01,chloropicrin,BABELNET
chloroplast.n.01,chloroplast,BABELNET
chloroquine.n.01,chloroquine,BABELNET
chlorous_acid.n.01,chlorous_acid,BABELNET
chock.n.01,Wheel_chock,BABELNET
chocolate.n.03,coffee_(color),BABELNET
chocolate_bar.n.01,chocolate_bar,BABELNET
chocolate_cake.n.01,Chocolate_cake,FERNANDO
chocolate_candy.n.01,Chocolate,BING
chocolate_milk.n.01,chocolate_milk,BABELNET
chocolate_pudding.n.01,chocolate_pudding,BABELNET
choice.n.02,choice,BABELNET
choir.n.02,Consort_of_instruments,BABELNET
choirmaster.n.01,Cantor_(Christianity),BABELNET
choke.n.01,choke_(electronics),BABELNET
chokecherry.n.02,Prunus_virginiana,BABELNET
choker.n.04,ruff_(clothing),BABELNET
choking.n.02,strangling,BABELNET
cholera.n.01,cholera,BABELNET
cholesterol.n.01,cholesterol,BABELNET
choline.n.01,choline,BABELNET
chon.n.01,CHON,FERNANDO
chop.n.04,CHOP,BING
chopstick.n.01,chopsticks,BABELNET
chord.n.01,chord_(geometry),BABELNET
chordate.n.01,chordate,BABELNET
choreographer.n.01,Choreography,BING
chorion.n.01,chorion_(egg),BABELNET
chorizo.n.01,chorizo,BABELNET
choroid.n.01,choroid,BABELNET
chorus_girl.n.01,showgirl,BABELNET
chosen.n.03,The_Chosen_(TV_series),BING
chow.n.02,Chow-chow_(food),BING
chow.n.03,chow_Chow,BABELNET
chowder.n.01,chowder,BABELNET
christian_holy_day.n.01,Pentecost,BING
christian_name.n.01,Christian_name,BABELNET
christmas_cake.n.01,Christmas_cake,BABELNET
christmas_stocking.n.01,Christmas_stocking,BABELNET
chromatid.n.01,chromatid,BABELNET
chromatin.n.01,chromatin,BABELNET
chrome.n.01,Google_Chrome,BING
chrome_alum.n.01,chrome_alum,BABELNET
chromite.n.01,chromite,BABELNET
chromosome.n.01,chromosome,BABELNET
chronic_lymphocytic_leukemia.n.01,Chronic_lymphocytic_leukemia,BABELNET
chronic_obstructive_pulmonary_disease.n.01,chronic_obstructive_pulmonary_disease,BABELNET
chronology.n.01,Geochronology,BABELNET
chrysalis.n.01,Gulf_fritillary,BING
chrysanthemum.n.01,Chrysanthemum,FERNANDO
chrysoberyl.n.01,chrysoberyl,BABELNET
chrysoprase.n.01,chrysoprase,BABELNET
chrysotile.n.01,chrysotile,BABELNET
chub_mackerel.n.01,Chub_mackerel,FERNANDO
chump.n.01,The_Chump,BING
church.n.01,Christian_Church,BABELNET
church_key.n.01,Churchkey,BING
church_service.n.01,church_service,BABELNET
churchyard.n.01,God's_Acre,FERNANDO
churn.n.01,butter_churn,BABELNET
chute.n.02,Chute_(racecourse),BING
chutney.n.01,chutney,BABELNET
cicada.n.01,cicada,BABELNET
cicero.n.01,cicero_(typography),BABELNET
cichlid.n.01,cichlid,BABELNET
cider.n.01,cider,BABELNET
cigar.n.01,cigar,BABELNET
cigar_cutter.n.01,cigar_cutter,BABELNET
cigar_lighter.n.01,Cigarette_lighter_receptacle,BING
cigarette.n.01,cigarette,BABELNET
cigarette_butt.n.01,Cigarette,BING
ciliate.n.01,ciliate,BABELNET
cimetidine.n.01,cimetidine,BABELNET
cinch.n.01,walkover,BABELNET
cinco_de_mayo.n.01,Cinco_de_Mayo,BABELNET
cinder.n.01,clinker_(waste),BABELNET
cinema.n.02,movie_theater,BABELNET
cinnabar.n.02,cinnabar_moth,BABELNET
cinnamon.n.02,cinnamon,BABELNET
ciprofloxacin.n.01,ciprofloxacin,BABELNET
circle.n.07,Circle,BING
circle_of_willis.n.01,circle_of_Willis,BABELNET
circuit.n.01,Electrical_network,BABELNET
circuit_board.n.01,plug-in_(computing),BABELNET
circuit_breaker.n.01,circuit_breaker,BABELNET
circuitry.n.01,Electronic_circuit,BABELNET
circular.n.01,flyer_(pamphlet),BABELNET
circular_saw.n.01,circular_saw,BABELNET
circulation.n.01,Circulation_(fluid_dynamics),BING
circulatory_system.n.01,circulatory_system,BABELNET
circumcision.n.02,Circumcision,FERNANDO
circumference.n.01,Circumference,FERNANDO
circumflex_scapular_artery.n.01,circumflex_scapular_artery,BABELNET
circumstance.n.03,consideration,BABELNET
circus.n.03,Carnival,FERNANDO
cirrhosis.n.01,Cirrhosis,FERNANDO
cirrostratus.n.01,cirrostratus_cloud,BABELNET
cirrus.n.02,cirrus_cloud,BABELNET
cisterna.n.01,Subarachnoid_cisterns,BABELNET
citation.n.03,citation,BABELNET
citizen.n.01,Citizen,FERNANDO
citizenship.n.01,citizenship,BABELNET
citrange.n.01,citrange,BABELNET
citrate.n.01,Citrate,FERNANDO
citric_acid.n.01,citric_acid,BABELNET
citrine.n.01,Quartz,BING
citron.n.02,citron,BABELNET
citrus.n.01,citrus,BABELNET
city.n.01,metropolis,BABELNET
city_center.n.01,city_centre,BABELNET
city_council.n.01,city_council,BABELNET
city_hall.n.01,seat_of_local_government,BABELNET
city_limit.n.01,city_limits,BABELNET
city_state.n.01,city-state,BABELNET
civil_disobedience.n.01,civil_disobedience,BABELNET
civil_servant.n.01,French_Civil_Service,BING
civil_war.n.01,civil_war,BABELNET
civilian.n.01,civilian,BABELNET
claim.n.04,Claims-based_identity,BING
clamp.n.01,clamp_(tool),BABELNET
clamshell.n.02,Clamshell_(container),BING
clang.n.01,Clang,BING
claret.n.02,Claret,FERNANDO
clarinet.n.01,clarinet,BABELNET
clarion.n.01,clarion_(instrument),BABELNET
clary_sage.n.01,Salvia_sclarea,BABELNET
clasp.n.02,grasp,BABELNET
class.n.02,form_(education),BABELNET
classic.n.01,Traveller_(role-playing_game),BING
classical_latin.n.01,Classical_Latin,BABELNET
classical_music.n.01,classical_music,BABELNET
classified_ad.n.01,Classified_advertising,BABELNET
classifier.n.01,Class_officers,BING
classroom.n.01,classroom,BABELNET
claustrophobia.n.01,claustrophobia,BABELNET
claustrum.n.01,claustrum,BABELNET
clavichord.n.01,clavichord,BABELNET
clavicle.n.01,clavicle,BABELNET
claw.n.03,pincer_(biology),BABELNET
claymore_mine.n.01,M18_Claymore_mine,BABELNET
clean_and_jerk.n.01,clean_and_jerk,BABELNET
clean_room.n.01,Cleanroom,BABELNET
cleaner.n.02,Cleaner,BING
cleaning.n.01,Cleaning,BING
cleaning_implement.n.01,Strigil,BING
cleanliness.n.01,Cleanliness,FERNANDO
cleansing_agent.n.01,Cleaning_agent,BING
clearing.n.01,glade_(geography),BABELNET
cleat.n.01,cleat_(shoe),BABELNET
cleavage.n.03,cleavage_(embryo),BABELNET
cleaver.n.01,cleaver,BABELNET
clematis.n.01,clematis,BABELNET
clemency.n.02,mercy,BABELNET
clementine.n.01,Clementine,BING
clergyman.n.01,minister_(Christianity),BABELNET
cleric.n.01,Cleric_(character_class),BING
clerk.n.01,clerk,BABELNET
click_beetle.n.01,click_beetle,BABELNET
cliff.n.01,cliff,BABELNET
cliff_dwelling.n.01,cliff_dwelling,BABELNET
climate.n.01,clime,BABELNET
climate_change.n.01,climate_change,BABELNET
climatology.n.01,Climatology,FERNANDO
climb.n.02,Climbing,BING
clincher.n.01,Bicycle_tire,BING
cling.n.01,Plastic_wrap,BING
clinic.n.01,Clinic,FERNANDO
clipboard.n.01,Clipboard,FERNANDO
clipping.n.01,Clipping_(audio),BING
clique.n.01,clique,BABELNET
clitoris.n.01,clitoris,BABELNET
cloak.n.01,Cloak,FERNANDO
clock.n.01,clock,BABELNET
clock_radio.n.01,Radio_clock,BING
clock_tower.n.01,clock_tower,BABELNET
clog.n.01,sabot_(shoe),BABELNET
cloning.n.01,cloning,BABELNET
closed_corporation.n.01,Privately_held_company,BABELNET
closer.n.02,Closer_(baseball),BING
clostridium.n.01,clostridium,BABELNET
clostridium_perfringens.n.01,clostridium_perfringens,BABELNET
clot.n.01,Clot,BING
clothes_closet.n.01,Closet,BING
clothes_dryer.n.01,clothes_dryer,BABELNET
clothesline.n.01,Clothes_line,BABELNET
clothing.n.01,clothing,BABELNET
clothing_store.n.01,Bond_Clothing_Stores,BING
cloudiness.n.01,overcast,BABELNET
clove.n.02,clove,BABELNET
clover.n.01,clover,BABELNET
cloverleaf.n.01,cloverleaf_interchange,BABELNET
clown.n.02,goof,BABELNET
club.n.02,social_club,BABELNET
club_sandwich.n.01,club_sandwich,BABELNET
clubbing.n.01,Clubbing,FERNANDO
clubfoot.n.01,Club_foot,BABELNET
clue.n.02,Clue,BING
clumber.n.01,Clumber_Spaniel,FERNANDO
clumsy_person.n.01,Bias_against_left-handed_people,BING
cluster_bomb.n.01,Cluster_munition,BABELNET
clutch_bag.n.01,Clutch,BING
clutter.n.01,Clutter_(radar),BING
coach.n.02,tutor,BABELNET
coaching.n.01,coaching,BABELNET
coagulase.n.01,Coagulase,FERNANDO
coal_black.n.01,Black_coal,BING
coal_industry.n.01,Coal,BING
coal_mine.n.01,coal_mining,BABELNET
coalface.n.01,Coal_face,BING
coarseness.n.04,vulgarity,BABELNET
coaster.n.01,Beverage_coaster,BING
coastline.n.01,Coast,BING
coat_hanger.n.01,clothes_hanger,BABELNET
coat_of_paint.n.01,Varnish,BING
coati.n.01,white-nosed_coati,BABELNET
coating.n.01,coating,BABELNET
coattail.n.01,Tailcoat,BING
coaxial_cable.n.01,coaxial_cable,BABELNET
cobalt.n.01,cobalt,BABELNET
cobalt_60.n.01,Cobalt-60,BABELNET
cobaltite.n.01,cobaltite,BABELNET
cobble.n.01,cobblestone,BABELNET
cobbler.n.01,Cordwainer,BING
cobnut.n.01,Corylus_avellana,BABELNET
cobra.n.01,cobra,BABELNET
cobweb.n.02,Spider_web,BING
cocaine.n.01,cocaine,BABELNET
coccidioidomycosis.n.01,coccidioidomycosis,BABELNET
coccidiosis.n.01,Coccidiosis,BING
coccus.n.01,coccus,BABELNET
coccygeal_plexus.n.01,coccygeal_plexus,BABELNET
coccygeal_vertebra.n.01,Coccygeal_vertebrae,BING
coccyx.n.01,coccyx,BABELNET
cochlea.n.01,cochlea,BABELNET
cock.n.01,dick_(slang),BABELNET
cockateel.n.01,cockatiel,BABELNET
cockatoo.n.01,cockatoo,BABELNET
cocker_spaniel.n.01,English_Cocker_Spaniel,FERNANDO
cockerel.n.01,Rooster,BING
cockle.n.01,Cockle_(bivalve),BING
cockney.n.02,Cockney,FERNANDO
cockpit.n.01,cockpit,BABELNET
cockroach.n.01,cockroach,BABELNET
cocktail.n.01,cocktail,BABELNET
cocoa.n.01,hot_chocolate,BABELNET
cocoa_powder.n.01,Cocoa_solids,BABELNET
coconut.n.03,coco_(music),BABELNET
coconut_milk.n.01,coconut_cream,BABELNET
cocoon.n.01,Silk,BING
cocozelle.n.01,Cucurbita_pepo,BING
code.n.01,codification_(law),BABELNET
code_of_conduct.n.01,code_of_conduct,BABELNET
codeine.n.01,codeine,BABELNET
codon.n.01,Codon,BING
coenzyme.n.01,Coenzyme_A,BING
coevals.n.01,Contemporary_history,BABELNET
coffee.n.01,coffee,BABELNET
coffee_bean.n.01,coffee_bean,BABELNET
coffee_break.n.01,Break_(work),BABELNET
coffee_cup.n.01,coffee_cup,BABELNET
coffee_maker.n.01,coffeemaker,BABELNET
coffee_mill.n.01,Coffee_preparation,BABELNET
coffee_mug.n.01,Mug,BING
coffee_table.n.01,coffee_table,BABELNET
coffer.n.01,lacuna_(music),BABELNET
coffin.n.01,coffin,BABELNET
cog.n.02,Cog-wheel,BING
cogitation.n.02,Metacognition,BING
cognition.n.01,knowledge,BABELNET
cohesiveness.n.02,Cohesion_(chemistry),BING
coil.n.02,whorl_(botany),BABELNET
coin.n.01,coin,BABELNET
coin_slot.n.01,Coin_slot,BING
coinage.n.01,Coinage,BING
coiner.n.03,moneyer,BABELNET
coitus_interruptus.n.01,coitus_interruptus,BABELNET
coke.n.03,blow_(drink),BABELNET
cola.n.02,cola,BABELNET
colander.n.01,colander,BABELNET
colchicine.n.01,colchicine,BABELNET
cold.n.01,common_cold,BABELNET
cold_cereal.n.01,Breakfast_cereal,BING
cold_front.n.01,polar_front,BABELNET
cold_medicine.n.01,Cold_medicine,BING
cold_storage.n.01,Cold_storage,BING
cold_turkey.n.01,Cold_turkey,FERNANDO
cold_war.n.01,cold_war_(general_term),BABELNET
cold_water.n.01,Cold_water_flat,BING
cold_weather.n.01,Cold,BING
coldness.n.03,cold,BABELNET
coleslaw.n.01,coleslaw,BABELNET
coleus.n.01,coleus,BABELNET
collage.n.01,collage,BABELNET
collagen.n.01,collagen,BABELNET
collapse.n.01,Collapse_(medical),BING
collards.n.01,collard_greens,BABELNET
collared_peccary.n.01,collared_peccary,BABELNET
colleague.n.01,Collegiality,BING
collect.n.01,collect,BABELNET
collection.n.01,Object_composition,BABELNET
collectivization.n.01,Collectivization,BING
collector.n.02,Collection_manager,BING
college.n.01,College,FERNANDO
college_student.n.01,Student,BING
collie.n.01,collie,BABELNET
collimator.n.01,Collimator,FERNANDO
collision.n.01,collision,BABELNET
colloquy.n.01,Colloquy_(law),BING
cologne.n.02,Eau_de_Cologne,FERNANDO
colon.n.02,Salvadoran_colón,BABELNET
colon_cancer.n.01,colorectal_cancer,BABELNET
colonoscopy.n.01,colonoscopy,BABELNET
colony.n.01,Plantation_(settlement_or_colony),BABELNET
color.n.01,color,BABELNET
color_bar.n.01,SMPTE_color_bars,BING
color_blindness.n.01,color_blindness,BABELNET
color_television.n.01,color_television,BABELNET
colorimeter.n.01,colorimeter_(chemistry),BABELNET
coloring.n.01,food_coloring,BABELNET
coloring_material.n.01,Color,FERNANDO
colossus.n.02,Colossus_(comics),BING
colt.n.01,Colt_(horse),BING
column.n.04,Column_(periodical),BING
coma.n.01,coma,BABELNET
comb.n.02,comb_(anatomy),BABELNET
combat_zone.n.01,tenderloin_(musical),BABELNET
combatant.n.01,Combatant,BING
comber.n.01,Comber,FERNANDO
combination.n.07,compounding,BABELNET
combustion.n.01,combustion,BABELNET
comedian.n.01,comedian,BABELNET
comedienne.n.01,Gender_marking_in_job_titles,BING
comet.n.01,comet,BABELNET
comfrey.n.01,comfrey,BABELNET
comic_strip.n.01,comic_strip,BABELNET
comma.n.02,Polygonia_comma,BABELNET
command.n.01,Command_and_control,BING
command_post.n.01,Headquarters_and_Headquarters_Company_(United_States),BING
commanding_officer.n.01,commander_(United_States),BABELNET
commerce.n.01,commerce,BABELNET
commercial.n.01,Commercial_property,BING
commercial_enterprise.n.02,business,BABELNET
commercial_paper.n.01,commercial_paper,BABELNET
commissioned_officer.n.01,Non-commissioned_officer,BING
commissioner.n.01,commissioner,BABELNET
commitment.n.02,Committed_relationship,BING
committee.n.01,committee,BABELNET
committee_for_state_security.n.01,KGB,BABELNET
committee_member.n.01,Committee,BING
commodity.n.01,good_(economics),BABELNET
common_bean.n.01,Phaseolus_vulgaris,BABELNET
common_iguana.n.01,iguana,BABELNET
common_iliac_artery.n.01,common_iliac_artery,BABELNET
common_mullein.n.01,Verbascum_thapsus,BABELNET
common_noun.n.01,Common_noun,BING
common_opossum.n.01,Virginia_opossum,BABELNET
common_room.n.01,common_room,BABELNET
common_roundworm.n.01,Ascaris_lumbricoides,BABELNET
common_scoter.n.01,Common_Scoter,FERNANDO
common_sense.n.01,common_sense,BABELNET
common_shrew.n.01,common_shrew,BABELNET
common_snapping_turtle.n.01,common_snapping_turtle,BABELNET
common_stock.n.01,common_stock,BABELNET
common_wheat.n.01,common_wheat,BABELNET
common_wormwood.n.01,Artemisia_absinthium,BABELNET
commune.n.01,Commune,FERNANDO
communication.n.01,communication,BABELNET
communication_system.n.02,communications_system,BABELNET
communications_satellite.n.01,communications_satellite,BABELNET
communion.n.02,First_Communion,BING
communism.n.01,Communist_society,BABELNET
communist.n.02,Julius_and_Ethel_Rosenberg,BING
commutation.n.01,commuting,BABELNET
commutator.n.01,commutator_(electric),BABELNET
commute.n.01,Commute,BING
commuter.n.01,Commuter_rail,BABELNET
compact_disk.n.01,compact_disc,BABELNET
compaction.n.01,Data_compaction,BING
companion.n.01,fellow,BABELNET
company.n.03,Business_interruption_insurance,BING
comparison.n.03,Beyond_Compare,BING
compartment.n.01,compartment_(development),BABELNET
compassion.n.01,compassion,BABELNET
compatibility.n.01,Compatibility_(geochemistry),BING
competitiveness.n.01,Competitive,BING
compilation.n.01,Compilation_album,BING
compiler.n.02,compiler,BABELNET
complacency.n.01,Automation_bias,BING
complement.n.03,Complement_system,BING
complete_blood_count.n.01,complete_blood_count,BABELNET
complex.n.01,Complex_(psychology),BING
complex_number.n.01,imaginary_(exhibition),BABELNET
complexion.n.01,Human_skin_color,BABELNET
complicatedness.n.01,Cognitive_Constraints_on_Compositional_Systems,BING
compliment.n.01,Complement_system,BING
component.n.01,Component_video,BING
composer.n.01,composer,BABELNET
composition.n.08,Composition_(visual_arts),BING
compositor.n.01,Visual_effects_supervisor,BING
compost.n.01,compost,BABELNET
composure.n.01,equanimity,BABELNET
compote.n.01,compote,BABELNET
compound.n.02,chemical_compound,BABELNET
compress.n.01,Compress,FERNANDO
compressed_gas.n.01,Compressed_fluid,BABELNET
compression_bandage.n.01,tourniquet,BABELNET
compressor.n.01,Compressor,BING
compromise.n.01,via_media,BABELNET
compulsion.n.03,Obsessive–compulsive_disorder,BING
computational_linguist.n.01,Computational_linguist,FERNANDO
computer.n.01,computer,BABELNET
computer_architecture.n.02,computer_architecture,BABELNET
computer_file.n.01,computer_file,BABELNET
computer_game.n.01,video_game,BABELNET
computer_industry.n.01,computer_industry,BABELNET
computer_keyboard.n.01,keypad,BABELNET
computer_language.n.01,computer_language,BABELNET
computer_monitor.n.01,computer_monitor,BABELNET
computer_network.n.01,computer_network,BABELNET
computer_science.n.01,computing,BABELNET
computer_scientist.n.01,computer_scientist,BABELNET
computer_screen.n.01,Computer_monitor,BING
computer_store.n.01,Paul_Terrell,BING
computer_system.n.01,PLATO_(computer_system),BING
computer_user.n.01,Computer_User,FERNANDO
computerized_axial_tomography_scanner.n.01,CT_scan,BABELNET
computerized_tomography.n.01,CT_scan,BABELNET
concentration.n.02,Concentration,BING
concentration_camp.n.01,Stockade,FERNANDO
concentration_gradient.n.01,Molecular_diffusion,BABELNET
concept.n.01,construct_(philosophy),BABELNET
conceptualization.n.01,Conceptualization_(information_science),BING
concern.n.04,worry,BABELNET
concert.n.01,concert,BABELNET
concert_hall.n.01,Concert_hall,BING
concertina.n.01,Concertina,FERNANDO
concerto.n.01,concerto,BABELNET
concession.n.02,Yielding,FERNANDO
conch.n.01,conch,BABELNET
concierge.n.01,concierge,BABELNET
conciliator.n.01,Conciliation,BING
conclusion.n.08,Conclusion,BING
concoction.n.01,Tudor_food_and_drink,BING
concrete.n.01,concrete,BABELNET
concurrence.n.04,co-occurrence,BABELNET
concussion.n.01,concussion,BABELNET
condensation.n.05,abridgement,BABELNET
condescension.n.01,Condescension,BING
condiment.n.01,condiment,BABELNET
condition.n.02,Precondition,FERNANDO
conditioner.n.01,Hair_conditioner,BING
condom.n.01,condom,BABELNET
condominium.n.01,condominium,BABELNET
condor.n.01,condor,BABELNET
conducting.n.01,Conducting,FERNANDO
conductor.n.01,Music_director,FERNANDO
conduit.n.01,Respiratory_passages,BING
condyle.n.01,condyle_(anatomy),BABELNET
cone.n.02,conoid,BABELNET
coneflower.n.01,Echinacea,BING
confectionery.n.02,Confectionery_store,BABELNET
confederate.n.02,Confederate_States_of_America,BING
conference_call.n.01,conference_call,BABELNET
conference_table.n.01,Round_table_(discussion),BING
confession.n.01,Confession,FERNANDO
confessional.n.01,confessional,BABELNET
confessor.n.01,confessor,BABELNET
confetti.n.01,confetti,BABELNET
confidence_man.n.01,Confidence_trick,BING
confidentiality.n.01,confidentiality,BABELNET
configuration.n.01,Configuration,BING
confirmation.n.01,Confirmation,BING
conflict.n.01,Conflict,FERNANDO
confluence.n.02,Confluence_(software),BING
conformity.n.02,Regulatory_compliance,BABELNET
confrontation.n.03,Confrontation,BING
confusion.n.02,confusion,BABELNET
conga.n.01,conga,BABELNET
conge.n.01,Molding_(decorative),BING
congee.n.01,congee,BABELNET
congestion.n.02,Congestion_pricing,BING
congestive_heart_failure.n.01,Heart_failure,BING
congo_red.n.01,Congo_red,BABELNET
congregation.n.01,Church_(congregation),BING
congressional_district.n.01,congressional_district,BABELNET
congressman.n.01,Member_of_Congress,BABELNET
conic_projection.n.01,Conic_projection,BING
conical_buoy.n.01,Buoy,BING
conifer.n.01,Pinophyta,BABELNET
conjugate_solution.n.01,Conjugate_Convective_Heat_Transfer,BING
